,name,salary
223,Jaden Springer,"$4,018,363"
224,Tari Eason,"$3,695,160"
225,Cody Zeller,"$3,500,000"
226,Cam Whitmore,"$3,379,068"
227,Nate Williams,"$940,543"
228,Jack McVeigh,"$578,577"
229,N'Faly Dante,"$578,577"
230,AJ Griffin,"$250,000"
231,David Roddy,"$135,120"
232,"$163,038,023","$163,038,023"
233,Pascal Siakam,"$42,176,400"
234,T. Haliburton,"$42,176,400"
235,Myles Turner,"$19,928,500"
236,Obi Toppin,"$12,975,000"
237,Aaron Nesmith,"$11,000,000"
238,TJ McConnell,"$9,500,000"
239,B. Mathurin,"$7,245,720"
240,Jarace Walker,"$6,362,433"
241,Isaiah Jackson,"$4,435,380"
242,Thomas Bryant,"$2,800,834"
243,Ben Sheppard,"$2,663,880"
244,Andrew Nembhard,"$2,019,699"
245,Johnny Furphy,"$1,850,842"
246,Nik Stauskas,"$702,311"
247,Tony Bradley,"$635,312"
248,Enrique Freeman,"$578,577"
249,Quenton Jackson,"$578,577"
250,Juwan Morgan,"$576,230"
251,Malik Fitts,"$555,217"
252,RayJ Dennis,"$324,931"
253,Moses Brown,"$306,660"
254,Jahlil Okafor,"$150,179"
255,"$169,543,082","$169,543,082"
256,Kawhi Leonard,"$49,205,800"
257,James Harden,"$33,653,846"
258,Norman Powell,"$19,241,379"
259,B. Bogdanovic,"$17,260,000"
260,Ivica Zubac,"$11,743,210"
261,Derrick Jones,"$9,523,810"
262,Kris Dunn,"$5,168,000"
263,Drew Eubanks,"$5,000,000"
264,Nicolas Batum,"$4,668,000"
265,Amir Coffey,"$3,938,271"
266,Patrick Mills,"$3,303,771"
267,Marjon Beauchamp,"$2,733,720"
268,Kobe Brown,"$2,534,024"
269,Jordan Miller,"$1,471,445"
270,Cam Christie,"$1,157,153"
271,Ben Simmons,"$1,082,061"
272,Josh Primo,"$1,000,000"
273,Trentyn Flowers,"$578,577"
274,Kai Jones,"$578,577"
275,P. Baldwin,"$141,554"
276,Seth Lundy,"$141,554"
277,"$174,124,752","$174,124,752"
278,LeBron James,"$48,728,845"
279,Luka Doncic,"$43,031,940"
280,Rui Hachimura,"$17,000,000"
281,D. Finney-Smith,"$14,924,167"
282,Austin Reaves,"$12,976,362"
283,Maxi Kleber,"$11,000,000"
284,Gabe Vincent,"$11,000,000"
285,J. Vanderbilt,"$10,714,286"
286,Dalton Knecht,"$3,819,120"
287,Markieff Morris,"$3,303,771"
288,Christian Wood,"$3,036,040"
289,Shake Milton,"$2,875,000"
290,Cam Reddish,"$2,463,946"
291,Jaxson Hayes,"$2,463,946"
292,Alex Len,"$1,177,206"
293,Bronny James,"$1,157,153"
294,Christian Koloko,"$578,577"
295,Quincy Olivari,"$578,577"
296,Armel Traore,"$578,577"
297,Jordan Goodwin,"$364,102"
298,Trey Jemison,"$286,325"
299,"$192,057,940","$192,057,940"
300,Ja Morant,"$36,725,670"
301,Desmond Bane,"$34,005,250"
302,Jaren Jackson Jr,"$25,257,798"
303,M. Bagley,"$12,500,000"
304,Brandon Clarke,"$12,500,000"
305,Luke Kennard,"$9,250,000"
306,John Konchar,"$6,165,000"
307,Zach Edey,"$5,756,880"
308,Johnny Davis,"$5,291,160"
309,Santi Aldama,"$3,960,531"
310,V. Williams,"$2,120,693"
311,Jay Huff,"$2,088,033"
312,Scotty Pippen Jr,"$2,087,519"
313,Kennedy Chandler,"$2,019,699"
314,GG Jackson,"$1,891,857"
315,Jaylen Wells,"$1,157,153"
316,Lamar Stevens,"$668,735"
317,Yuki Kawamura,"$578,577"
318,Cam Spencer,"$578,577"
319,Colin Castleton,"$534,045"
320,Mamadi Diakite,"$464,050"
321,Zyon Pullin,"$302,411"
322,"$165,903,638","$165,903,638"
323,Bam Adebayo,"$34,848,340"
324,Tyler Herro,"$29,000,000"
325,Andrew Wiggins,"$26,276,786"
326,Terry Rozier,"$24,924,126"
327,Duncan Robinson,"$19,406,000"
328,Kyle Anderson,"$8,780,488"
329,Davion Mitchell,"$6,451,077"
330,H. Highsmith,"$5,200,000"
331,Kel'el Ware,"$4,231,800"
332,Kevin Love,"$3,850,000"
333,Jaime Jaquez,"$3,685,800"
334,Alec Burks,"$3,303,771"
335,Nikola Jovic,"$2,464,200"
336,Pelle Larsson,"$1,157,153"
337,Keshad Johnson,"$937,214"
338,Josh Christopher,"$578,577"
339,Dru Smith,"$578,577"
340,Isaiah Stevens,"$350,668"
341,Zyon Pullin,"$77,500"
342,"$176,102,077","$176,102,077"
343,Damian Lillard,"$48,787,676"
344,G. Antetokounmpo,"$48,787,676"
345,Kyle Kuzma,"$24,456,060"
346,Brook Lopez,"$23,000,000"
347,Bobby Portis,"$12,578,286"
348,Pat Connaughton,"$9,423,869"
349,Taurean Prince,"$2,988,550"
350,Gary Trent Jr.,"$2,613,120"
351,Kevin Porter Jr.,"$2,237,691"
352,Jericho Sims,"$2,092,344"
353,Chris Livingston,"$1,891,857"
354,Tyler Smith,"$1,157,153"
355,Ryan Rollins,"$949,888"
356,Liam Robbins,"$578,577"
357,Stanley Umude,"$578,577"
358,Pete Nance,"$147,988"
359,Jamaree Bouyea,"$135,120"
360,Anzejs Pasecniks,"$77,500"
361,Jaylin Galloway,"$77,500"
362,"$182,559,432","$182,559,432"
363,Rudy Gobert,"$43,827,586"
364,Anthony Edwards,"$42,176,400"
365,Julius Randle,"$33,073,920"
366,Jaden McDaniels,"$22,586,207"
367,Naz Reid,"$13,986,432"
368,Donte DiVincenzo,"$11,445,000"
369,Mike Conley,"$9,975,962"
370,Rob Dillingham,"$6,262,920"
371,N. Alexander-Walker,"$4,312,500"
372,Joe Ingles,"$3,303,771"
373,Keita Bates-Diop,"$2,654,644"
374,T. Shannon,"$2,546,640"
375,Luka Garza,"$2,162,606"
376,Leonard Miller,"$1,891,857"
377,PJ Dozier,"$1,051,255"
378,Jaylen Clark,"$907,334"
379,Tristen Newton,"$578,577"
380,Jesse Edwards,"$578,577"
381,Daishen Nix,"$238,068"
382,Bones Hyland,"$147,988"
383,"$203,708,244","$203,708,244"
384,Zion Williamson,"$36,725,670"
385,CJ McCollum,"$33,333,333"
386,Dejounte Murray,"$28,817,135"
387,Bruce Brown,"$23,000,000"
388,Herb Jones,"$12,976,362"
389,Kelly Olynyk,"$12,804,878"
390,Trey Murphy,"$5,159,854"
391,Jordan Hawkins,"$4,525,706"
392,Yves Missi,"$3,193,200"
393,J. Robinson-Earl,"$2,196,970"
394,Jose Alvarado,"$1,988,598"
395,Javonte Green,"$1,728,448"
396,Karlo Matkovic,"$1,407,153"
397,Antonio Reeves,"$1,157,153"
398,BJ Boston,"$1,005,158"
399,Elfrid Payton,"$652,671"
400,Trey Jemison,"$578,577"
401,Jamal Cain,"$578,577"
402,Keion Brooks Jr.,"$305,628"
403,Jaylen Nowell,"$278,782"
404,Jalen Crutcher,"$154,423"
405,Lester Quinones,"$135,120"
406,Malcolm Hill,"$75,000"
407,"$172,778,396","$172,778,396"
408,K. Towns,"$49,205,800"
409,OG Anunoby,"$36,637,932"
410,Jalen Brunson,"$24,960,001"
411,Mikal Bridges,"$23,300,000"
412,Josh Hart,"$18,144,000"
413,M. Robinson,"$14,318,182"
414,Precious Achiuwa,"$6,000,000"
415,Miles McBride,"$4,710,144"
416,Delon Wright,"$3,003,427"
417,Cameron Payne,"$3,003,427"
418,Tyler Kolek,"$2,087,519"
419,Pacome Dadiet,"$1,808,080"
420,Ariel Hukporti,"$1,112,306"
421,Matt Ryan,"$978,541"
422,P.J. Tucker,"$626,577"
423,Anton Watson,"$578,577"
424,Jacob Toppin,"$578,577"
425,K. McCullar,"$578,577"
426,Boo Buie,"$143,308"
427,Marjon Beauchamp,"$131,903"
428,"$191,906,878","$191,906,878"
429,S. Gilgeous-Alexander,"$35,859,950"
430,I. Hartenstein,"$30,000,000"
431,Luguentz Dort,"$17,000,000"
432,Isaiah Joe,"$12,991,650"
433,Aaron Wiggins,"$10,981,303"
434,Chet Holmgren,"$10,880,640"
435,Alex Caruso,"$9,890,000"
436,Kenrich Williams,"$6,669,000"
437,Cason Wallace,"$5,555,920"
438,Ousmane Dieng,"$5,027,040"
439,Nikola Topic,"$4,935,960"
440,Jalen Williams,"$4,775,760"
441,Ajay Mitchell,"$3,347,451"
442,Daniel Theis,"$2,800,834"
443,Dillon Jones,"$2,622,360"
444,Kevin Porter,"$1,000,000"
445,Branden Carlson,"$717,538"
446,Alex Ducas,"$578,577"
447,Adam Flagler,"$578,577"
448,Malevy Leons,"$126,356"
449,Alex Reese,"$79,804"
450,"$166,418,720","$166,418,720"
451,Jonathan Isaac,"$27,600,000"
452,K. Caldwell-Pope,"$22,757,000"
